Journals_Data_Title,journal_autofix_title,Journals_Data_ISSN,Journals_Data_INVBR,Journals_Data_Location,Journals_Data_Journal_Ext_Info,Source_Line,CLEAN_ISSN,CLEAN_TITLE,CLEAN_TITLE_ext,CLEAN_PUBLISHER
"Nuovo Cimento, (1855) Bologna",Nuovo Cimento,0029-6341,P-58,Arhiv 1. krilo,Serie IX|10 (1953) – 12 (1954)|Serie X|1 (1955) – 39 (1965) 						|* od vol. 40 (1965) izlazi podijeljen u sekcije A i B,"Nuovo Cimento, (1855) Bologna|ISSN 0029-6341|inv. br. P-58||Serie IX|10 (1953) – 12 (1954)||Serie X|1 (1955) – 39 (1965) 						****Arhiv 1. krilo||* od vol. 40 (1965) izlazi podijeljen u sekcije A i B",,,,
"Nuovo Cimento A, (1855) Bologna",Nuovo Cimento A,0369-3546,P-58/1,Arhiv 1. krilo,*do vol. 39 (1965) izlazi kao: Nuovo Cimento|Serie X|40A (1965) – 70A  (1970)|Serie XI|1A (1971) – 33A (1976)|35A (1976) – 48A (1978) |50A (1979) – 66A (1981)|79A (1984) – 108A (1995)					|--------------------------------------------------------------------------|109A (1996) – 112A (1999)					|*2000. godine pripojio se  European Physical Journal A,"Nuovo Cimento A, (1855) Bologna|ISSN 0369-3546|inv. br. P-58/1||*do vol. 39 (1965) izlazi kao: Nuovo Cimento||Serie X|40A (1965) – 70A  (1970)||Serie XI|1A (1971) – 33A (1976)|35A (1976) – 48A (1978) |50A (1979) – 66A (1981)|79A (1984) – 108A (1995)					****Arhiv 1. krilo|--------------------------------------------------------------------------|109A (1996) – 112A (1999)					****1. krilo||*2000. godine pripojio se  European Physical Journal A",0369-3546,Nuovo cimento A,,Editrice Compositori
"Nuovo Cimento B, (1855) Bologna",Nuovo Cimento B,0369-3554,P-58/2,Arhiv 1. krilo,"*do vol. 39 (1965) izlazi kao: Nuovo Cimento|Serie X|40B (1965) – 70B (1970)|Serie XI|1B (1971) – 66B (1981)|79B (1984) – 105B (1990)|106B (1991) No. 1-5,...,7-12|107B (1992) – 110B (1996)					|--------------------------------------------------------------------------|111B (1996) – 119B (2004)","Nuovo Cimento B, (1855) Bologna|ISSN 0369-3554|inv. br. P-58/2||*do vol. 39 (1965) izlazi kao: Nuovo Cimento||Serie X|40B (1965) – 70B (1970)||Serie XI|1B (1971) – 66B (1981)|79B (1984) – 105B (1990)|106B (1991) No. 1-5,...,7-12|107B (1992) – 110B (1996)					****Arhiv 1. krilo|--------------------------------------------------------------------------|111B (1996) – 119B (2004)					****1. krilo",0369-3554,Nuovo cimento B,,Editrice Compositori ; Societa Italiana di Fisica
"Obzornik za matematiko in fiziko, (1951) Ljubljana",Obzornik za matematiko in fiziko,0473-7466,P-112,Arhiv 1. krilo,"1 (1951) Št. ...,2-4|2 (1952) – 23 (1976) Št. 1-3,|24 (1977) – 34 (1987) Št. 1-3,...,6-7|35 (1988) – 36 (1989) Št. 1,...,3-6|37 (1990) – 42 (1995)					|43 (1996) – 44 (1997) Št. 1-2,","Obzornik za matematiko in fiziko, (1951) Ljubljana|ISSN 0473-7466|inv. br. P-112||1 (1951) Št. ...,2-4|2 (1952) – 23 (1976) Št. 1-3,|24 (1977) – 34 (1987) Št. 1-3,...,6-7|35 (1988) – 36 (1989) Št. 1,...,3-6|37 (1990) – 42 (1995)					|43 (1996) – 44 (1997) Št. 1-2,				****Arhiv 1. krilo",,,,
Oceanic Abstracts (1964) Bethesda,Oceanic Abstracts (1964) Bethesda,0748-1489,P-501a,Rovinj,"* do vol. 8 izlazi kao: Oceanic Citation Journal with Abstracts and Oceanic Index|8 (1971) – 18 (1981)|20 (1983) No.1-5,|24 (1984) 	|29 (1992) – 31 (1994) No. 1-2,...,5-7|32 (19959 – 34 (1997) No. 1-6,...,8-12|35 (1998) – 41 (2004)","Oceanic Abstracts (1964) Bethesda|ISSN 0748-1489|inv. br. P-501a||* do vol. 8 izlazi kao: Oceanic Citation Journal with Abstracts and Oceanic Index||8 (1971) – 18 (1981)|20 (1983) No.1-5,|24 (1984) 	|29 (1992) – 31 (1994) No. 1-2,...,5-7|32 (19959 – 34 (1997) No. 1-6,...,8-12|35 (1998) – 41 (2004)    					****Rovinj",0748-1489,Oceanic abstracts,,Cambridge Scientific Abstracts
"Oceanographie Tropicale, (1982) Paris",Oceanographie Tropicale,0245-9418,P-1371,Rovinj,17 (1982) – 21 (1986),"Oceanographie Tropicale, (1982) Paris|ISSN 0245-9418|inv. br. P-1371||17 (1982) – 21 (1986) 					****Rovinj",,,,
"Oceanography and Marine Biology, (1963) Aberdeen",Oceanography and Marine Biology,0078-3218,P-391,Rovinj,2 (1964) – 7 (1969)|10 (1972) – 11 (1973)|13 (1975) – 14 (1976)|17 (1979) – 18 (1980)|22 (1984),"Oceanography and Marine Biology, (1963) Aberdeen|ISSN 0078-3218|inv. br. P-391||2 (1964) – 7 (1969)|10 (1972) – 11 (1973)|13 (1975) – 14 (1976)|17 (1979) – 18 (1980)|22 (1984)							****Rovinj",,,,
"Oceanologia, (1971) Sopot",Oceanologia,0078-3234,P-1372,Rovinj,3 (1971) – 45 (2003)|46 (2004) – 50 (2008) No.1-4|51 (2009) – 56 (2014)      ----->,"Oceanologia, (1971) Sopot|ISSN 0078-3234|inv. br. P-1372||3 (1971) – 45 (2003)|46 (2004) – 50 (2008) No.1-4|51 (2009) – 56 (2014)      ----->				****Rovinj",,,,
"Oceanologia et Limnologia Sinica, (1957) Peking",Oceanologia et Limnologia Sinica,0029-814X,P-1373,Rovinj,13 (1982) – 17 (1986),"Oceanologia et Limnologia Sinica, (1957) Peking|ISSN 0029-814X|inv. br. P-1373||13 (1982) – 17 (1986)					****Rovinj",,,,
"Oceanologica Acta, (1978) Montreuil",Oceanologica Acta,0399-1784,P-1374,Rovinj,"4 (1981) No. 1-4|7 (1984) – 14 (1984) No. 1-3,...,5-6|15 (1992) – 17 (1994) No. 1-2,...,4-6|18 (1995) No. 1-5,|19 (1996) No. ...,3-6|20 (1997) – 23 (2000)   |25 (2002)","Oceanologica Acta, (1978) Montreuil|ISSN 0399-1784|inv. br. P-1374||4 (1981) No. 1-4|7 (1984) – 14 (1984) No. 1-3,...,5-6|15 (1992) – 17 (1994) No. 1-2,...,4-6|18 (1995) No. 1-5,|19 (1996) No. ...,3-6|20 (1997) – 23 (2000)   |25 (2002)	 						****Rovinj",0399-1784,Oceanologica acta,,Elsevier
"Oceanus, (1952) Woods Hole",Oceanus,0029-8182,P-1375,Rovinj,"5 (1956/57) – 7 (1960/61) No. 1,…,3-4|8 (1961/62) |13 (1967) – 38 (1995)","Oceanus, (1952) Woods Hole|ISSN 0029-8182|inv. br. P-1375||5 (1956/57) – 7 (1960/61) No. 1,…,3-4|8 (1961/62) |13 (1967) – 38 (1995)					****Rovinj",,,,
"Oebalia, (1975) Taranto",Oebalia,0392-6613,P-1376,Rovinj,1 (1975) – 26 (2000),"Oebalia, (1975) Taranto|ISSN 0392-6613|inv. br. P-1376||1 (1975) – 26 (2000)						****Rovinj",,,,
"Oecologia Aquatica, (1973) Barcelona",Oecologia Aquatica,0210-9352,P-1377,Rovinj,1 (1973) – 6 (1978),"Oecologia Aquatica, (1973) Barcelona|ISSN 0210-9352|inv. br. P-1377||1 (1973) – 6 (1978) 						****Rovinj",,,,
"Oikos, (1949) Kopenhagen",Oikos,0030-1299,P-1378,Rovinj,1 (1949/51) – 7 (1956),"Oikos, (1949) Kopenhagen|ISSN 0030-1299|inv. br. P-1378||1 (1949/51) – 7 (1956)					****Rovinj",,,,
"Okeanologija, (1961) Moskva",Okeanologija,0030-1574,P-1379,Rovinj,"3 (1963) No. ...,2,|4 (1964)|6 (1966) No. 1-5,|7 (1967) No. 1-2,…,4-6|8 (1968) No. 1-4,…,6|9 (1969) – 22 (1982) No. ...,2-6|23 (1983) No. ...,3-6|24 (1984) – 31 (1991) No. ...,2-6|33 (1993) No. ...,4-6|34 (1994) No. 1-4,...,6|35 (1995) No. ...2-6|36 (1996) – 41 (2001)					|*otkazan 2002. godine","Okeanologija, (1961) Moskva|ISSN 0030-1574|inv. br. P-1379||3 (1963) No. ...,2,|4 (1964)|6 (1966) No. 1-5,|7 (1967) No. 1-2,…,4-6|8 (1968) No. 1-4,…,6|9 (1969) – 22 (1982) No. ...,2-6|23 (1983) No. ...,3-6|24 (1984) – 31 (1991) No. ...,2-6|33 (1993) No. ...,4-6|34 (1994) No. 1-4,...,6|35 (1995) No. ...2-6|36 (1996) – 41 (2001)					****Rovinj||*otkazan 2002. godine",0030-1574,Okeanologija,,Nauka
"Oncogene, (1987) Basingstoke",Oncogene,0950-9232,P-1380,5. krilo,"19 (2000) – 20 (2001) No. 1-23,…,25-58					           22 (2003) – 23 (2004)","Oncogene, (1987) Basingstoke|ISSN 0950-9232|inv. br. P-1380||19 (2000) – 20 (2001) No. 1-23,…,25-58					           22 (2003) – 23 (2004)					****5. krilo",0950-9232,Oncogene,,Nature Publishing Group ; Palgrave Macmillan
"Online: magazine, Medford, NJ",Online: magazine,0146-5422,P-1381,1. krilo,"27 (2003) – 28 (2004) No. 1-4,						               29 (2005) – 31 (2007) No. 1,","Online: magazine, Medford, NJ|ISSN 0146-5422|inv. br. P-1381||27 (2003) – 28 (2004) No. 1-4,						               29 (2005) – 31 (2007) No. 1,					****1. krilo",0146-5422,Online,,Information Today
"Online Information Review, (1993) Bradford",Online Information Review,1468-4527,P-1382,5. krilo (preklopne police),27 (2003) – 29 (2005),"Online Information Review, (1993) Bradford|ISSN 1468-4527|inv. br. P-1382||27 (2003) – 29 (2005) 			****5. krilo (preklopne police)",1468-4527,Online information review,,Emerald
"Online Searcher, (2013) Medford SVE JE U ARHIVU",Online Searcher,2324-9684,P-1383,1. krilo,"1 (2013)|2 (2014) No. 1-2,						|* nastao spajanjem časopisa Online i Searcher","Online Searcher, (2013) Medford SVE JE U ARHIVU|ISSN 2324-9684|inv. br. P-1383||1 (2013)|2 (2014) No. 1-2,						****1. krilo||* nastao spajanjem časopisa Online i Searcher",,,,
"Optics - Communication, (1980) Amsterdam",Optics - Communication,0030-4018,P-627,Arhiv 1. krilo,"40 (1981) – 45 (1983) No. ...,4,|47 (1983)","Optics - Communication, (1980) Amsterdam|ISSN 0030-4018|inv. br. P-627||40 (1981) – 45 (1983) No. ...,4,|47 (1983)							****Arhiv 1. krilo",,,,
"Optics and Spectroscopy, (1956) New York",Optics and Spectroscopy,0030-400X,P-290,Arhiv 1. krilo,6 (1959) – 11 (1961),"Optics and Spectroscopy, (1956) New York|ISSN 0030-400X|inv. br. P-290||6 (1959) – 11 (1961)						****Arhiv 1. krilo",,,,
"Optik, (1946) Stuttgart",Optik,0030-4026,P-120,Arhiv 1. krilo,"11 (1954) – 28 (1968/69)|62 (1982) H. 1,..., 3-4|63 (1983) – 65 (1983) No. 1-2,..., 4","Optik, (1946) Stuttgart|ISSN 0030-4026|inv. br. P-120||11 (1954) – 28 (1968/69)|62 (1982) H. 1,..., 3-4|63 (1983) – 65 (1983) No. 1-2,..., 4				****Arhiv 1. krilo",,,,
"Optika i spektroskopija, (1956) Moskva",Optika i spektroskopija,0030-4034,P-347,Arhiv 1. krilo,"14 (1963) Vyp. ...,2-6|15 (1963) – 52 (1982) Vyp. ...,3-6|53 (1982)|56 (1984) – 67 (1989)","Optika i spektroskopija, (1956) Moskva|ISSN 0030-4034|inv. br. P-347||14 (1963) Vyp. ...,2-6|15 (1963) – 52 (1982) Vyp. ...,3-6|53 (1982)|56 (1984) – 67 (1989)					****Arhiv 1. krilo",,,,
"Opuscula zoological, (1957) München",Opuscula zoological,0030-4158,P-1384,Rovinj,"1963 – 1965 No. …,2-4","Opuscula zoological, (1957) München|ISSN 0030-4158|inv. br. P-1384||1963 – 1965 No. …,2-4 					****Rovinj",,,,
"Organic and Biomolecular Chemistry, (2003) London",Organic and Biomolecular Chemistry,1477-0520,P-1385,5. krilo,1 (2003) – 3 (2005) 						|*do 2002. godine izlazi kao: Perkin 1  i  Perkin 2,"Organic and Biomolecular Chemistry, (2003) London|ISSN 1477-0520|inv. br. P-1385||1 (2003) – 3 (2005) 						****5. krilo||*do 2002. godine izlazi kao: Perkin 1  i  Perkin 2",,,,
"Organic Electronics, (2000) Amsterdam",Organic Electronics,1566-1199,P-1386,Arhiv 1. krilo,1 (2000) No.1|3 (2002) – 4 (2003),"Organic Electronics, (2000) Amsterdam|ISSN 1566-1199|inv. br. P-1386||1 (2000) No.1|3 (2002) – 4 (2003) 						****Arhiv 1. krilo",1566-1199,Organic electronics,,Elsevier
"Organic Letters, (1999) Washington",Organic Letters,1523-7060,P-1387,5. krilo,"5 (2003) – 8 (2006) No. 1-4,","Organic Letters, (1999) Washington|ISSN 1523-7060|inv. br. P-1387||5 (2003) – 8 (2006) No. 1-4, 					****5. krilo",,,,
"Organic Magnetic Resonance, (1969) London",Organic Magnetic Resonance,0030-4921,P-605,3. krilo,"9 (1977) No. 1-12|11 (1978) No. 1-2,...,5-11|12 (1979) - 22 (1984) 					|*od vol. 23 (1985) izlazi kao: Magentic Resonance in Chemistry","Organic Magnetic Resonance, (1969) London|ISSN 0030-4921|inv. br. P-605||9 (1977) No. 1-12|11 (1978) No. 1-2,...,5-11|12 (1979) - 22 (1984) 					****3. krilo||*od vol. 23 (1985) izlazi kao: Magentic Resonance in Chemistry",,,,
"Organic Mass Spectrometry, (1968) London",Organic Mass Spectrometry,0030-493X,P-484,Arhiv 1. krilo,"5 (1971) – 16 (1981)|18 (1983) – 24 (1989) 					|--------------------------------------------------------------------------|25 (1990) No. 1-7,…,9-12					|26 (1991) – 27 (1992) No. 1-3,…,5-12|28 (1993) – 29 (1994)|* od vol. 30 (1995) izlazi kao: Journal of Mass Spectrometry","Organic Mass Spectrometry, (1968) London|ISSN 0030-493X|inv. br. P-484||5 (1971) – 16 (1981)|18 (1983) – 24 (1989) 					****Arhiv 1. krilo|--------------------------------------------------------------------------|25 (1990) No. 1-7,…,9-12					****5. krilo|26 (1991) – 27 (1992) No. 1-3,…,5-12|28 (1993) – 29 (1994)||* od vol. 30 (1995) izlazi kao: Journal of Mass Spectrometry",,,,
"Organic Reactions, New York",Organic Reactions,,P-1388,3. krilo,1 (1957) – 26 (1979)								              34 (1986) – 36 (1988)	Sgn. 04.51/126,"Organic Reactions, New York|inv. br. P-1388||1 (1957) – 26 (1979)								              34 (1986) – 36 (1988)	Sgn. 04.51/126		****3. krilo",,,,
"Organic Synthesis, New York",Organic Synthesis,,P-1389,3. krilo,"Coll. vols. 1-5, 33|vol. 40 (1960) – 60 (1981)						                        vol. 62 (1984) – 65 (1987) 	 Sgn. 04.51/128","Organic Synthesis, New York|inv. br. P-1389||Coll. vols. 1-5, 33|vol. 40 (1960) – 60 (1981)						                        vol. 62 (1984) – 65 (1987) 	 Sgn. 04.51/128		****3. krilo",,,,
"Organometallics, (1982) Washington",Organometallics,0276-7333,P-696,5. krilo,"1 (1982) – 25 (2006) No. 1-4,						                26 (2007) – 28 (2009)","Organometallics, (1982) Washington|ISSN 0276-7333|inv. br. P-696||1 (1982) – 25 (2006) No. 1-4,						                26 (2007) – 28 (2009)					****5. krilo",0276-7333,Organometallics,,American Chemical Society
O.R.S.T.O.M. collected reprints,O.R.S.T.O.M. collected reprints,,P-1390,Rovinj,ISSN|1963|1965|1967,O.R.S.T.O.M. collected reprints|ISSN|inv. br. P-1390||1963|1965|1967 								****Rovinj,,,,
"Paleontologia Jugoslavica, (1958) Zagreb",Paleontologia Jugoslavica,,P-1391,Rovinj,ISSN|1 (1958) – 13 (1973),"Paleontologia Jugoslavica, (1958) Zagreb|ISSN|inv. br. P-1391||1 (1958) – 13 (1973) 						****Rovinj",,,,
"Patologičeskaja fiziologija i eksperimentalnaja terapija, (1957) Moskva",Patologičeskaja fiziologija i eksperimentalnaja terapija,0031-2991,P-240,Arhiv 1. krilo,2 (1958) – 17 (1973),"Patologičeskaja fiziologija i eksperimentalnaja terapija, (1957) Moskva|ISSN 0031-2991|inv. br. P-240||2 (1958) – 17 (1973)						****Arhiv 1. krilo",,,,
"PC Chip, (1995) Zagreb",PC Chip,1330-6707,P-1392,5. krilo (preklopne police),"1998 No. 43|1999 No. 44-46,...,48-55|2000 No. 56-67|2001 No. 68-79|2002 No. 80-81,								                  No. 92 (2003) – No. 247 (2015)|No. 248-255,...|(PRESTAO IZLAZITI POLOVICOM 2016.!)","PC Chip, (1995) Zagreb|ISSN 1330-6707|inv. br. P-1392||1998 No. 43|1999 No. 44-46,...,48-55|2000 No. 56-67|2001 No. 68-79|2002 No. 80-81,								                  No. 92 (2003) – No. 247 (2015)|No. 248-255,...|(PRESTAO IZLAZITI POLOVICOM 2016.!)            ****5. krilo (preklopne police)",,,,
"Periodicum biologorum, (1908) Zagreb",Periodicum biologorum,0031-5362,P-468,Rovinj,"*ranije izlazi kao: Biološki glasnik|72 (1970) – 73 (1971) Br. …,2,|74 (1972)|76 (1974)|82 (1980) – 100 (1998) Br. 1-4, suppl. 2|101 (1999) – 104 (2002)	|105 (2003) Br. 1,2,3,4|106 (2004) Br. 1,2,4								      107 (2005) Br. 2,4|108 (2006) Br. 1,suppl.1,3,4,6						      109 (2007) Br. 1,2,3,4								       110 (2008) Br. 1-3|111 (2009) Br. 1-3|112 (2010) Br. 4  ----> SAMO HRČAK!			|--------------------------------------------------------------------------|72 (1970) - 91 (1989)						|---------------------------------------------------------------------------|92 (1990) – 110 (2008)|111 (2009) No. 1-3,…|112 (2010) No. …,4    ----> SAMO HRČAK!","Periodicum biologorum, (1908) Zagreb|ISSN 0031-5362|inv. br. P-468||*ranije izlazi kao: Biološki glasnik||72 (1970) – 73 (1971) Br. …,2,|74 (1972)|76 (1974)|82 (1980) – 100 (1998) Br. 1-4, suppl. 2|101 (1999) – 104 (2002)	|105 (2003) Br. 1,2,3,4|106 (2004) Br. 1,2,4								      107 (2005) Br. 2,4|108 (2006) Br. 1,suppl.1,3,4,6						      109 (2007) Br. 1,2,3,4								       110 (2008) Br. 1-3|111 (2009) Br. 1-3|112 (2010) Br. 4  ----> SAMO HRČAK!			****Rovinj|--------------------------------------------------------------------------|72 (1970) - 91 (1989)						****Arhiv 1. krilo|---------------------------------------------------------------------------|92 (1990) – 110 (2008)|111 (2009) No. 1-3,…|112 (2010) No. …,4    ----> SAMO HRČAK!			****5. krilo",0031-5362,Periodicum biologorum,,Hrvatsko prirodoslovno društvo
Perkin 1,Perkin 1,,P-168C/1,,"*vidi: Journal of the Chemical Society, Perkin Transactions I","Perkin 1|inv. br. P-168C/1||*vidi: Journal of the Chemical Society, Perkin Transactions I",,,,
Perkin 2,Perkin 2,,P-168B/1,,"*vidi: Journal of the Chemical Society, Perkin Transactions II","Perkin 2|inv. br. P-168B/1||*vidi: Journal of the Chemical Society, Perkin Transactions II",,,,
"Pflügers Archiv für die Gesamte Physiologie des Menschens und der Tiere, (1868) Berlin",Pflügers Archiv für die Gesamte Physiologie des Menschens und der Tiere,,P-1393,Rovinj,"ISSN|258 (1953) – 260 (1954)|276 (1963) No. …,4-6|277 (1963) – 286 (1965)","Pflügers Archiv für die Gesamte Physiologie des Menschens und der Tiere, (1868) Berlin|ISSN|inv. br. P-1393||258 (1953) – 260 (1954)|276 (1963) No. …,4-6|277 (1963) – 286 (1965) 					****Rovinj",,,,
"Pharmacological Reviews, (1949) Baltimore",Pharmacological Reviews,0031-6997,P-265,Arhiv 1. krilo,1 (1949) – 2 (1950)|4 (1952)|10 (1958) – 22 (1970),"Pharmacological Reviews, (1949) Baltimore|ISSN 0031-6997|inv. br. P-265||1 (1949) – 2 (1950)|4 (1952)|10 (1958) – 22 (1970)					****Arhiv 1. krilo",,,,
"Pharmacology Biochemistry & Behavior, (1973) New York",Pharmacology Biochemistry & Behavior,0091-3057,P-688,Arhiv 1. krilo,"29 (1988) – 34 (1989) 					|-------------------------------------------------------------------------|35 (1990) – 54 (1996) No. 1-3, 				|55 (1996) – 77 (2004) No. 1-2,","Pharmacology Biochemistry & Behavior, (1973) New York|ISSN 0091-3057|inv. br. P-688||29 (1988) – 34 (1989) 					****Arhiv 1. krilo|-------------------------------------------------------------------------|35 (1990) – 54 (1996) No. 1-3, 				****5. krilo|55 (1996) – 77 (2004) No. 1-2,",0091-3057,Pharmacology biochemistry and behavior,,Pergamon ; Elsevier
"Philippine Journal of Fisheries, (1951) Manila",Philippine Journal of Fisheries,0048-377X,P-1394,Rovinj,3 (1955) No. 2|4 (1956) – 8 (1960),"Philippine Journal of Fisheries, (1951) Manila|ISSN 0048-377X|inv. br. P-1394||3 (1955) No. 2|4 (1956) – 8 (1960) 						****Rovinj",,,,
"The Philippine Scientist, (1964) Cebu City",The Philippine Scientist,0079-1466,P-1395,Rovinj,14 (1977) – 20 (1983),"The Philippine Scientist, (1964) Cebu City|ISSN 0079-1466|inv. br. P-1395||14 (1977) – 20 (1983) 					****Rovinj",,,,
"Philosophical Magazine, (1798) London",Philosophical Magazine,0031-8086,P-21,Arhiv 1. krilo,7th Series|39 (1948) – 46 (1955)|8th Series|1 (1956) – 36 (1977) 					|*od vol. 37 (1978) izlazi podijeljen u sekcije A i B,"Philosophical Magazine, (1798) London|ISSN 0031-8086|inv. br. P-21||7th Series|39 (1948) – 46 (1955)||8th Series|1 (1956) – 36 (1977) 					****Arhiv 1. krilo||*od vol. 37 (1978) izlazi podijeljen u sekcije A i B",,,,
"Philosophical Magazine A, (1798) London",Philosophical Magazine A,0141-8610,P-21/1,Arhiv 1. krilo,"*do vol. 36 (1977) izlazi kao: Philosophical Magazine|A37 (1978) – A44 (1981)|A47 (1983) – A56 (1987) No. 1-5,|A57 (1988) – A60 (1990)","Philosophical Magazine A, (1798) London|ISSN 0141-8610|inv. br. P-21/1||*do vol. 36 (1977) izlazi kao: Philosophical Magazine||A37 (1978) – A44 (1981)|A47 (1983) – A56 (1987) No. 1-5,|A57 (1988) – A60 (1990)					****Arhiv 1. krilo",,,,
"Philosophical Magazine B, (1798) London",Philosophical Magazine B,0958-6644,P-21/2,Arhiv 1. krilo,"*do vol. 36 (1977) izlazi kao: Philosophical Magazine|B37 (1978) – B44 (1981)|B47 (1983) – B56 (1987) No. 1-5,|B57 (1988) – B60 (1990)","Philosophical Magazine B, (1798) London|ISSN 0958-6644|inv. br. P-21/2||*do vol. 36 (1977) izlazi kao: Philosophical Magazine||B37 (1978) – B44 (1981)|B47 (1983) – B56 (1987) No. 1-5,|B57 (1988) – B60 (1990)					****Arhiv 1. krilo",,,,
"Philosophical Magazine Letters, (1960) London",Philosophical Magazine Letters,0950-0839,P-21/3,Arhiv 1. krilo,"55 (1987) – 56 (1987) No. 1-5,|57 (1988) – 60 (1990)","Philosophical Magazine Letters, (1960) London|ISSN 0950-0839|inv. br. P-21/3||55 (1987) – 56 (1987) No. 1-5,|57 (1988) – 60 (1990)					****Arhiv 1. krilo",,,,
"Photochemistry and Photobiology, (1961) Oxford",Photochemistry and Photobiology,0031-8655,P-455,Arhiv 1. krilo,"7 (1968) No. ...,6, |11 (1970) – 35 (1982) No. 1-2,|50 (1989)							|----------------------------------------------|51 (1990) – 63 (1996) No. 1,…,3-6				|64 (1996) – 80 (2004) No. 1-3,						              81 (2005) – 82 (2006)","Photochemistry and Photobiology, (1961) Oxford|ISSN 0031-8655|inv. br. P-455||7 (1968) No. ...,6, |11 (1970) – 35 (1982) No. 1-2,|50 (1989)							****Arhiv 1. krilo|----------------------------------------------|51 (1990) – 63 (1996) No. 1,…,3-6				****5. krilo|64 (1996) – 80 (2004) No. 1-3,						              81 (2005) – 82 (2006)",0031-8655,Photochemistry and photobiology,,American Society for Photobiology ; Pergamon
"Phuket Marine Biological Center Research Bulletin, (1973) Phuket",Phuket Marine Biological Center Research Bulletin,0858-1088,P-1396,Rovinj,1 (1973) – 13 (1976)|28 (1981) |35 (1985) – 57 (1992) 							       59 (1994) – 64 (2002) 							        67 (2006) – 72 (2013),"Phuket Marine Biological Center Research Bulletin, (1973) Phuket|ISSN 0858-1088|inv. br. P-1396||1 (1973) – 13 (1976)|28 (1981) |35 (1985) – 57 (1992) 							       59 (1994) – 64 (2002) 							        67 (2006) – 72 (2013)					****Rovinj",,,,
"Phycologia, (1961) Oxford, Edinburgh, London, Melbourne",Phycologia,0031-8884,P-1397,Rovinj,"12 (1973) – 19 (1980)|20 (1981) No. …, 2-4|21 (1982) No. 1,…, 3-4|22 (1983) – 26 (1987) No. …, 2-4|27 (1988) – 31 (1991) No. 1-4,…, 6|32 (1993) – 33 (1994) No. 1-4,…, 6|36 (1997) – 43 (2003) No. 1","Phycologia, (1961) Oxford, Edinburgh, London, Melbourne|ISSN 0031-8884|inv. br. P-1397||12 (1973) – 19 (1980)|20 (1981) No. …, 2-4|21 (1982) No. 1,…, 3-4|22 (1983) – 26 (1987) No. …, 2-4|27 (1988) – 31 (1991) No. 1-4,…, 6|32 (1993) – 33 (1994) No. 1-4,…, 6|36 (1997) – 43 (2003) No. 1					****Rovinj",,,,
"Physica, (1921) Utrecht",Physica,0378-4371,P-10,Arhiv 1. krilo,"13 (1947) – 78 (1974) 					|* dalje izlazi u sekcijama: 	A - Theoretical and Statistical Physics| B - Low Temperature and Solid State Phys.   B-C - Optics| C - Atomic, Molecular and Plasma Physics i   D - Nonlinear Phenomena","Physica, (1921) Utrecht|ISSN 0378-4371|inv. br. P-10||13 (1947) – 78 (1974) 					****Arhiv 1. krilo||* dalje izlazi u sekcijama: 	A - Theoretical and Statistical Physics| B - Low Temperature and Solid State Phys.   B-C - Optics| C - Atomic, Molecular and Plasma Physics i   D - Nonlinear Phenomena",0378-4371,Physica A:,statistical and theoretical physics,Elsevier ; North-Holland
"Physica A, (1921) Utrecht",Physica A,0378-4371,P-10/1,Arhiv 1. krilo,"*prije izlazio kao: Physica|79A (1975) – 110A (1982) No. 1-2,|116A (1982) – 168A (1990) No. ...,2-3|169A (1990) – 222A (1995) 					|223A (1996) – 331A (2004)","Physica A, (1921) Utrecht|ISSN 0378-4371|inv. br. P-10/1||*prije izlazio kao: Physica||79A (1975) – 110A (1982) No. 1-2,|116A (1982) – 168A (1990) No. ...,2-3|169A (1990) – 222A (1995) 					****Arhiv 1. krilo|223A (1996) – 331A (2004)",0378-4371,Physica A:,statistical and theoretical physics,Elsevier ; North-Holland
"Physica B, (1921) Utrecht",Physica B,0921-4526,P-1398,Arhiv 1. krilo,"*prije izlazio kao: Physica|120B (1983)|152B (1988) – 167B (1990)|168B (1991) – 169B (1991) No. ...,part lll,. |170B (1991) – 215B (1995)					|216B (1996) – 290B (2000) 					|293B (2000) – 339B (2003)","Physica B, (1921) Utrecht|ISSN 0921-4526|inv. br. P-1398||*prije izlazio kao: Physica||120B (1983)|152B (1988) – 167B (1990)|168B (1991) – 169B (1991) No. ...,part lll,. |170B (1991) – 215B (1995)					****Arhiv 1. krilo|216B (1996) – 290B (2000) 					|293B (2000) – 339B (2003)",0921-4526,Physica B:,condensed matter,Elsevier ; North-Holland
"Physica B+C, (1921) Utrecht",Physica B+C,0378-4363,P-10/2,Arhiv 1. krilo,*prije izlazio kao: Physica|79B-C (1975) – 108B-C (1981)|111B-C (1982) – 112B-C (1982)|115B-C (1983) – 151B-C (1988),"Physica B+C, (1921) Utrecht|ISSN 0378-4363|inv. br. P-10/2||*prije izlazio kao: Physica||79B-C (1975) – 108B-C (1981)|111B-C (1982) – 112B-C (1982)|115B-C (1983) – 151B-C (1988)				****Arhiv 1. krilo",,,,
